TSI%,TSI Fit Factor,O2Hb1,HHb1,tHb1,HbDiff1,O2Hb2,HHb2,tHb2,HbDiff2,O2Hb3,HHb3,tHb3,HbDiff3,O2Hb2-2,HHb2-2,tHb2-2,HbDiff2-2,Event,Event Time
69.1230011,99.8752899,16.5664959,3.1396797,19.7065773,13.4267883,16.1397514,3.4539819,19.593235,12.6856489,16.1287994,3.8015041,19.9305,12.3272934,17.7447453,2.2407355,19.9857445,15.5040236,,
69.1053467,99.8757629,16.3027096,3.076076,19.3791885,13.2266064,15.8859148,3.3904774,19.2758904,12.4953175,15.8774433,3.7292647,19.6069069,12.14818,17.6291084,2.2793598,19.9087334,15.3497639,,
69.0908356,99.8755646,16.1253014,3.0249844,19.1506901,13.1002903,15.714406,3.3313756,19.0452843,12.3829136,15.6986208,3.6699002,19.368721,12.0287199,17.4933815,2.2756717,19.7693214,15.2177248,,
69.0742798,99.8764114,16.0124054,3.0086067,19.0214119,13.0037718,15.5994949,3.3253865,18.9243813,12.2739925,15.5922642,3.6515949,19.2440605,11.94067,17.3930225,2.2459407,19.6392288,15.1470947,,
69.0421143,99.8769913,15.8131304,2.9860034,18.7995338,12.8271008,15.4372787,3.2835662,18.7203465,12.1535969,15.3999615,3.6225383,19.0227013,11.7774239,17.287693,2.259604,19.5475636,15.0281048,,
69.1327972,99.8767853,16.0978298,2.9813368,19.0795689,13.1164675,15.7000856,3.2932916,18.992878,12.4066753,15.6865978,3.6242988,19.3110962,12.0622997,17.4130039,2.2654476,19.6787148,15.1475697,,
69.2945175,99.8769989,16.7315788,3.0540938,19.786068,13.6774521,16.3244286,3.3609548,19.684885,12.9633541,16.3061447,3.6961188,20.0024624,12.6100254,17.7987385,2.2877102,20.0867138,15.5110416,,
69.2520218,99.8781891,16.7342968,3.0523801,19.787075,13.6818895,16.3094673,3.3729291,19.6818981,12.9364185,16.2826271,3.6982625,19.9810886,12.5843639,17.7798939,2.2767124,20.0568695,15.5031948,,
69.2072983,99.8785248,16.4953976,3.003566,19.4993629,13.4918032,16.0748787,3.3228295,19.3972092,12.7519293,16.0412064,3.6437848,19.6851921,12.3974228,17.610796,2.2445416,19.8556023,15.3662672,,
69.2080383,99.8793488,16.2680721,2.9648354,19.2333088,13.3032093,15.881546,3.2765908,19.1576385,12.6048374,15.8431292,3.5974674,19.440794,12.2456608,17.4624538,2.2414761,19.7041912,15.2209911,,
69.1452179,99.8792114,16.1878185,2.9330418,19.1212616,13.2547483,15.7866592,3.2498977,19.0360565,12.5366449,15.7372618,3.5737324,19.3111954,12.1635303,17.3745842,2.2242618,19.5991154,15.1503391,,
69.1354218,99.8797226,16.102211,2.935698,19.0383091,13.1664858,15.7138824,3.2459855,18.9593678,12.4677782,15.6550875,3.5690041,19.2242928,12.0860834,17.2813854,2.1919863,19.4736385,15.0894146,,
69.1642532,99.8794708,16.2076454,2.9710603,19.1791039,13.2365551,15.8215618,3.2834232,19.1044884,12.538022,15.7752123,3.6073833,19.3827934,12.1678276,17.3094902,2.2174032,19.5271568,15.0921001,,
69.2575226,99.8796234,16.8140755,3.0469451,19.8614178,13.7670994,16.402317,3.3625157,19.7643318,13.0396805,16.3440304,3.6931915,20.0374222,12.6508379,17.6296883,2.2579482,19.8878994,15.3717518,,
69.2525101,99.8798141,16.821537,3.1037672,19.925705,13.7177401,16.4132652,3.41256,19.8253231,13.0005827,16.3524494,3.7392952,20.0919437,12.6131525,17.5783596,2.2459338,19.8245602,15.3324404,,
69.1810379,99.8800507,16.4715042,3.0770471,19.5489502,13.3944263,16.0749779,3.4001777,19.474659,12.6746817,16.0390778,3.7187696,19.7580452,12.3203077,17.3459988,2.2047262,19.5509911,15.1412859,,
69.1880112,99.8803864,16.3071804,3.033673,19.3412552,13.2734804,15.9200697,3.3478336,19.2674046,12.5721188,15.8771696,3.6602027,19.537571,12.2169666,17.2242908,2.1862524,19.4108086,15.0380507,,
69.1438065,99.8803558,16.1670418,2.9731135,19.1405563,13.1939011,15.7642193,3.2890542,19.0527744,12.4750481,15.7104702,3.597517,19.3081875,12.1129541,17.142889,2.183001,19.3261566,14.9599018,,
69.1132202,99.8801422,16.012764,2.8948472,18.9080124,13.1178913,15.6030331,3.2033508,18.8058853,12.3995657,15.5295792,3.5136199,19.0433998,12.0159588,17.0803585,2.1776907,19.2583141,14.9026794,,
69.1299591,99.8787384,16.0541325,2.8957496,18.9502811,13.1583557,15.6340122,3.2104793,18.8439903,12.4234161,15.5872622,3.5228591,19.110321,12.0644035,17.0516319,2.1688237,19.2207203,14.8828201,,
