O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI%,TSI%,TSI Fit Factor,TSI%,TSI%,Event,Event Time
2.4448931,-2.321753,0.1231403,1.6504627,-2.1570683,-0.5066463,1.891504,-1.8042281,0.087176,12.9511967,-1.7781422,11.1727695,6.7499895,-2.4247212,4.3257027,5.6234722,-2.0602918,3.5634582,68.553978,68.553978,68.553978,99.6297455,68.553978,68.553978,,
2.3960614,-2.3305438,0.0655177,1.5947336,-2.1575654,-0.5628723,1.8419063,-1.807704,0.0341024,12.9360218,-1.8084185,11.1273212,6.6964583,-2.4213405,4.2755532,5.5808282,-2.0636597,3.5174458,68.5195312,68.5195312,68.5195312,99.6296082,68.5195312,68.5195312,,
2.3498168,-2.3405852,0.0092313,1.5357208,-2.1610358,-0.6253552,1.7893164,-1.8126237,-0.0234075,12.8982801,-1.8129742,11.0850229,6.6411452,-2.4199669,4.2216134,5.5350242,-2.0676696,3.4676318,68.4767227,68.4767227,68.4767227,99.6284027,68.4767227,68.4767227,,
2.271481,-2.3374543,-0.0659733,1.4824629,-2.1662574,-0.6838349,1.7357891,-1.8178828,-0.0821936,12.7991695,-1.794822,11.0040646,6.6061373,-2.4272552,4.179316,5.4840183,-2.0711007,3.4131951,68.5168457,68.5168457,68.5168457,99.6295319,68.5168457,68.5168457,,
2.2086308,-2.3412926,-0.1326619,1.4320406,-2.1729462,-0.7409457,1.6806171,-1.8213619,-0.1408447,12.7197084,-1.7904669,10.928957,6.5699639,-2.4374602,4.1329374,5.4391603,-2.0763512,3.3630874,68.5056763,68.5056763,68.5056763,99.6301498,68.5056763,68.5056763,,
2.1494269,-2.3461151,-0.1966884,1.3762736,-2.1734049,-0.7971715,1.6258743,-1.8231077,-0.1973335,12.6661758,-1.8054384,10.8604527,6.5113525,-2.4334028,4.0783834,5.3919683,-2.0816402,3.3106055,68.481308,68.481308,68.481308,99.6308212,68.481308,68.481308,,
2.0997109,-2.3504307,-0.2507194,1.3271317,-2.1777096,-0.8506177,1.5767406,-1.8287838,-0.2521431,12.6435614,-1.8133532,10.8299246,6.4748926,-2.4407687,4.0345578,5.3447604,-2.0850658,3.2599728,68.4680481,68.4680481,68.4680481,99.6307907,68.4680481,68.4680481,,
2.0527596,-2.3551109,-0.3023515,1.2869552,-2.1914372,-0.9045218,1.5192814,-1.8318217,-0.3126402,12.6319351,-1.8112333,10.8204174,6.4515753,-2.4580264,3.9939811,5.2992339,-2.0891075,3.2104046,68.4238434,68.4238434,68.4238434,99.6303864,68.4238434,68.4238434,,
1.9873327,-2.3597827,-0.3724502,1.2301602,-2.1952798,-0.9651592,1.4679385,-1.8358065,-0.3679679,12.5371828,-1.8066263,10.7302723,6.4012041,-2.4612486,3.9403892,5.2492385,-2.0900881,3.1594279,68.4239349,68.4239349,68.4239349,99.6304779,68.4239349,68.4239349,,
1.9192377,-2.3591394,-0.4399018,1.1718208,-2.1955776,-1.0237963,1.4126104,-1.8378004,-0.4252899,12.4734325,-1.8026108,10.670536,6.3399725,-2.4554403,3.8849654,5.2002325,-2.0941734,3.1063375,68.4270782,68.4270782,68.4270782,99.6309128,68.4270782,68.4270782,,
1.8730767,-2.3651416,-0.4920647,1.1216725,-2.2006185,-1.0789853,1.3627113,-1.8424547,-0.4798436,12.4470072,-1.812368,10.6343555,6.3036323,-2.4628084,3.8412571,5.1597166,-2.1000569,3.059938,68.39888,68.39888,68.39888,99.6302948,68.39888,68.39888,,
1.8198563,-2.3677192,-0.5478631,1.0679315,-2.203054,-1.1351612,1.3139193,-1.8477554,-0.5339361,12.4042168,-1.8203955,10.5835361,6.2602186,-2.4667048,3.793946,5.1177249,-2.1072068,3.0107963,68.3949203,68.3949203,68.3949203,99.6298447,68.3949203,68.3949203,,
1.7875125,-2.3890734,-0.601561,1.0176626,-2.2065387,-1.1889149,1.2611104,-1.8502022,-0.5891918,12.4324226,-1.8730538,10.5590839,6.2044439,-2.4664044,3.738472,5.0723825,-2.1094196,2.9632409,68.2921906,68.2921906,68.2921906,99.630249,68.2921906,68.2921906,,
1.7202988,-2.3837316,-0.6634327,0.9652699,-2.207808,-1.2425768,1.2138908,-1.8532073,-0.6394164,12.3401146,-1.8530487,10.4867802,6.1640902,-2.4653897,3.6991322,5.0262632,-2.1104093,2.9161317,68.3258591,68.3258591,68.3258591,99.6302643,68.3258591,68.3258591,,
1.6698227,-2.3858237,-0.7160012,0.9171487,-2.2123685,-1.2952583,1.1622009,-1.8553598,-0.6932589,12.2956095,-1.8398644,10.4554605,6.1288285,-2.4717946,3.6574657,4.9815364,-2.1151204,2.866694,68.3022842,68.3022842,68.3022842,99.6299438,68.3022842,68.3022842,,
1.6171919,-2.3869419,-0.7697499,0.870916,-2.2174504,-1.3465729,1.1112577,-1.8586814,-0.7475239,12.2576275,-1.8399162,10.4174271,6.0917392,-2.4801624,3.612009,4.9396486,-2.1204169,2.8195107,68.2900314,68.2900314,68.2900314,99.630043,68.2900314,68.2900314,,
1.5640297,-2.3906803,-0.8266506,0.8274288,-2.2218595,-1.3944689,1.0616533,-1.8603847,-0.7988316,12.1922274,-1.8406465,10.3512964,6.0605621,-2.4901788,3.5708153,4.8893414,-2.1220937,2.7675261,68.2690659,68.2690659,68.2690659,99.6309357,68.2690659,68.2690659,,
1.5167618,-2.3935785,-0.8768166,0.7787513,-2.2255459,-1.4468327,1.0174644,-1.8635057,-0.8461415,12.1601315,-1.8493493,10.3104963,6.0093131,-2.4916077,3.518137,4.8458848,-2.1249571,2.7212062,68.2568207,68.2568207,68.2568207,99.6298676,68.2568207,68.2568207,,
1.5043474,-2.4109001,-0.9065525,0.7310981,-2.2288432,-1.4977833,0.9691943,-1.865271,-0.8961768,12.2193193,-1.8841921,10.3348417,5.9655242,-2.4946198,3.4713359,4.8040814,-2.1284299,2.6759291,68.1397476,68.1397476,68.1397476,99.6278152,68.1397476,68.1397476,,
1.438882,-2.4078288,-0.9689471,0.6897513,-2.2328734,-1.5431601,0.9243101,-1.868928,-0.9447179,12.1470757,-1.8748096,10.2719812,5.9358492,-2.4997923,3.4364884,4.7635045,-2.1318927,2.6318901,68.1718369,68.1718369,68.1718369,99.6293564,68.1718369,68.1718369,,
1.3697875,-2.4004107,-1.0306232,0.6409019,-2.2366023,-1.5957379,0.8734418,-1.868955,-0.9956134,12.0376253,-1.8441248,10.1932163,5.8985896,-2.5053539,3.3936665,4.7193327,-2.1335411,2.5860693,68.1963577,68.1963577,68.1963577,99.6293182,68.1963577,68.1963577,,
1.324733,-2.4008944,-1.0761616,0.595207,-2.2371545,-1.6419853,0.8305758,-1.8700775,-1.0396017,12.000701,-1.8456185,10.1547985,5.8564024,-2.5082867,3.3485465,4.67277,-2.1333749,2.5396731,68.1826935,68.1826935,68.1826935,99.6287766,68.1826935,68.1826935,,
1.2914218,-2.4162335,-1.1248119,0.554112,-2.2391181,-1.6850439,0.7856438,-1.8706672,-1.0851235,12.0081415,-1.893728,10.1141262,5.8173203,-2.5110908,3.3066609,4.6347733,-2.1386819,2.4963694,68.1062164,68.1062164,68.1062164,99.6297302,68.1062164,68.1062164,,
1.2593955,-2.4252648,-1.1658695,0.4964704,-2.2406499,-1.7442172,0.7340328,-1.8761793,-1.1422466,12.0203476,-1.9079514,10.1121101,5.7628932,-2.509856,3.253468,4.5920081,-2.1421943,2.450093,68.0470428,68.0470428,68.0470428,99.6277924,68.0470428,68.0470428,,
1.2093914,-2.426857,-1.2174658,0.4548099,-2.2471154,-1.7923428,0.6887826,-1.8793859,-1.1907034,11.9694214,-1.8999424,10.0691929,5.7380228,-2.5195816,3.2188714,4.5508847,-2.1463094,2.4048541,68.0404892,68.0404892,68.0404892,99.6276703,68.0404892,68.0404892,,
1.1551142,-2.4226296,-1.2675149,0.4154069,-2.2494934,-1.8341238,0.647746,-1.8821433,-1.2344974,11.8880529,-1.8731349,10.0146313,5.6980453,-2.5186515,3.1798248,4.513011,-2.1516354,2.3616538,68.0627594,68.0627594,68.0627594,99.6282806,68.0627594,68.0627594,,
1.1058075,-2.4278846,-1.322077,0.3651486,-2.2486281,-1.8835167,0.6033431,-1.8855565,-1.2823131,11.8716946,-1.8973221,9.9740868,5.6571989,-2.5187249,3.1389048,4.4736638,-2.1582093,2.3157327,68.0481033,68.0481033,68.0481033,99.628685,68.0481033,68.0481033,,
1.0509189,-2.4299607,-1.3790416,0.3159243,-2.2467246,-1.9308373,0.5635624,-1.8881013,-1.3246392,11.7917194,-1.8947475,9.8966866,5.6087093,-2.5144217,3.094718,4.4369426,-2.1616728,2.2755485,68.0569077,68.0569077,68.0569077,99.6291122,68.0569077,68.0569077,,
0.9890919,-2.4188414,-1.4297495,0.2771367,-2.2473018,-1.9702018,0.5221865,-1.8869374,-1.3648509,11.6898718,-1.8636134,9.8259716,5.5706844,-2.5162587,3.0548553,4.3973432,-2.1608698,2.236752,68.09486390000001,68.09486390000001,68.09486390000001,99.6296692,68.09486390000001,68.09486390000001,,
0.9439297,-2.4229171,-1.4789877,0.2381237,-2.2526119,-2.0145249,0.4797244,-1.8902409,-1.4106162,11.6459627,-1.8657198,9.7799587,5.5290451,-2.5173311,3.0121436,4.357523,-2.1631484,2.194653,68.0802765,68.0802765,68.0802765,99.629982,68.0802765,68.0802765,,
0.9069651,-2.4292169,-1.5222518,0.1980825,-2.2614658,-2.0634201,0.4351159,-1.8941326,-1.4591166,11.6375427,-1.8755579,9.7616987,5.5073886,-2.53163,2.9761882,4.3159027,-2.1679227,2.1482587,68.0446167,68.0446167,68.0446167,99.6289215,68.0446167,68.0446167,,
0.8815659,-2.4461529,-1.5645869,0.1484304,-2.2601781,-2.111784,0.3913561,-1.8955545,-1.5042982,11.6626949,-1.9236345,9.7387743,5.457871,-2.5302672,2.9280326,4.2721438,-2.1677995,2.1046231,67.9564438,67.9564438,67.9564438,99.6283875,67.9564438,67.9564438,,
0.845692,-2.4539039,-1.6082121,0.1044863,-2.2599826,-2.1555333,0.3533487,-1.8983498,-1.545101,11.6251287,-1.9313005,9.6935406,5.4059038,-2.5252438,2.8810892,4.2353077,-2.1725316,2.0630553,67.9249802,67.9249802,67.9249802,99.6281662,67.9249802,67.9249802,,
0.7876826,-2.4506645,-1.662982,0.0599462,-2.258127,-2.1982172,0.3095951,-1.8977482,-1.5882533,11.5539608,-1.9265661,9.6271086,5.3631182,-2.5244946,2.8390517,4.2004118,-2.1766279,2.0240626,67.9336395,67.9336395,67.9336395,99.6291504,67.9336395,67.9336395,,
